run_id,case_id,cell_code,agent_id,replicate_id,factor_a,factor_b,factor_c,repo_url,commit_sha,instruction_path,test_command,status
631b243122ad900de713,d2578b858cfe326f,N,claude_code,1,absent,na,na,https://github.com/fixmyberlin/tilda-geo,b6d9037991f7b133d4e0c93f928ab79c5c32b453,.agents/skills/tech-stack/SKILL.md,Vitest,planned
f3299a4f217a7b002cbe,d2578b858cfe326f,T+P,claude_code,1,present,truthful,no,https://github.com/fixmyberlin/tilda-geo,b6d9037991f7b133d4e0c93f928ab79c5c32b453,.agents/skills/tech-stack/SKILL.md,Vitest,planned
2ebbbe4a0708e7a1eeed,d2578b858cfe326f,F+P,claude_code,1,present,false,no,https://github.com/fixmyberlin/tilda-geo,b6d9037991f7b133d4e0c93f928ab79c5c32b453,.agents/skills/tech-stack/SKILL.md,Vitest,planned
17c9fb0d68bde42be934,d2578b858cfe326f,T+L,claude_code,1,present,truthful,yes,https://github.com/fixmyberlin/tilda-geo,b6d9037991f7b133d4e0c93f928ab79c5c32b453,.agents/skills/tech-stack/SKILL.md,Vitest,planned
0b808a19543dc99f4029,d2578b858cfe326f,F+L,claude_code,1,present,false,yes,https://github.com/fixmyberlin/tilda-geo,b6d9037991f7b133d4e0c93f928ab79c5c32b453,.agents/skills/tech-stack/SKILL.md,Vitest,planned
d598c9a41326591b3072,d2578b858cfe326f,N,claude_code,2,absent,na,na,https://github.com/fixmyberlin/tilda-geo,b6d9037991f7b133d4e0c93f928ab79c5c32b453,.agents/skills/tech-stack/SKILL.md,Vitest,planned
ec17bef7203cff4df5ef,d2578b858cfe326f,F+L,claude_code,2,present,false,yes,https://github.com/fixmyberlin/tilda-geo,b6d9037991f7b133d4e0c93f928ab79c5c32b453,.agents/skills/tech-stack/SKILL.md,Vitest,planned
d96ef82df5c62875530a,d2578b858cfe326f,T+P,claude_code,2,present,truthful,no,https://github.com/fixmyberlin/tilda-geo,b6d9037991f7b133d4e0c93f928ab79c5c32b453,.agents/skills/tech-stack/SKILL.md,Vitest,planned
ef0084d651b6867ebeaf,d2578b858cfe326f,F+P,claude_code,2,present,false,no,https://github.com/fixmyberlin/tilda-geo,b6d9037991f7b133d4e0c93f928ab79c5c32b453,.agents/skills/tech-stack/SKILL.md,Vitest,planned
4b2ad9ff25111df1673e,d2578b858cfe326f,T+L,claude_code,2,present,truthful,yes,https://github.com/fixmyberlin/tilda-geo,b6d9037991f7b133d4e0c93f928ab79c5c32b453,.agents/skills/tech-stack/SKILL.md,Vitest,planned
