neutral_id,eligibility_status,reason_code,explanation,sources_inspected,packet_hash
8222c534ec20c9c2,eligible,construct_valid_packet_v2,Concrete task brief + snapshot context + semantic redaction; safe to distribute.,rq5_case_manifest.csv;packet_spec:rq5_v1_blind_packet_spec_v2;rq5_candidate_dataset.csv;blob_store:102a621871fd79da;blob_store:contrast_inspected_not_emitted;git_tree:2196dc5d7eba,bbd7ed4a4bb10e5155a20647577289ee920b73613c14ff07012c94b33f2b9555
edc493748044c205,not_safe_for_blinding,leakage_or_absence_risk,"Refused emit; scan hits: banned_path:@automattic/grid, raw_anchor_present",rq5_case_manifest.csv;packet_spec:rq5_v1_blind_packet_spec_v2;rq5_candidate_dataset.csv;blob_store:0ecd65366c4a8e9f;blob_store:contrast_inspected_not_emitted;git_tree:3f7b8a9c5288,
b6f1d2c6e3328de2,eligible,construct_valid_packet_v2,Concrete task brief + snapshot context + semantic redaction; safe to distribute.,rq5_case_manifest.csv;packet_spec:rq5_v1_blind_packet_spec_v2;rq5_candidate_dataset.csv;blob_store:f500df70b3fc23ca;blob_store:contrast_inspected_not_emitted;git_tree:107bba011639,298d2b72a27f033e54a8a928e88a68e2b21e887bfe4c24e475b4f975e799907a
ac63aa4470fd018b,eligible,construct_valid_packet_v2,Concrete task brief + snapshot context + semantic redaction; safe to distribute.,rq5_case_manifest.csv;packet_spec:rq5_v1_blind_packet_spec_v2;rq5_candidate_dataset.csv;blob_store:74559875a0b3b5f4;blob_store:contrast_inspected_not_emitted;git_tree:3c65d86c2395,cb5377419b3ca72c28cd50f964915fe2e832fc9e96ddbf7fe8d2e317968d6a3f
3700df2d7790d1ff,eligible,construct_valid_packet_v2,Concrete task brief + snapshot context + semantic redaction; safe to distribute.,rq5_case_manifest.csv;packet_spec:rq5_v1_blind_packet_spec_v2;rq5_candidate_dataset.csv;blob_store:231a342f1dda4647;blob_store:contrast_inspected_not_emitted;git_tree:52a4bea88f45,9e76caf84e86d85c3bd4b53a4febc9143c923f2689b2ce9f1b2c9421e5de86a1
8819745939ade378,eligible,construct_valid_packet_v2,Concrete task brief + snapshot context + semantic redaction; safe to distribute.,rq5_case_manifest.csv;packet_spec:rq5_v1_blind_packet_spec_v2;rq5_candidate_dataset.csv;blob_store:7439bbeb881e157d;blob_store:contrast_inspected_not_emitted;git_tree:6b3b8c9b9eb4,f65f2118d809bee7481904d2e6964b8ca9303891b122ab03aeba8cf0181afccb
85571219ad372807,eligible,construct_valid_packet_v2,Concrete task brief + snapshot context + semantic redaction; safe to distribute.,rq5_case_manifest.csv;packet_spec:rq5_v1_blind_packet_spec_v2;rq5_candidate_dataset.csv;blob_store:4882a7d151026bd9;blob_store:contrast_inspected_not_emitted;git_tree:33ada30b4055,8212e1044ed87099ea25ca912908ef4f0f03c8f4eb22ac39444a2ef2c8f4d391
5cdb19823812fea3,eligible,construct_valid_packet_v2,Concrete task brief + snapshot context + semantic redaction; safe to distribute.,rq5_case_manifest.csv;packet_spec:rq5_v1_blind_packet_spec_v2;rq5_candidate_dataset.csv;blob_store:96f0351f7cf2c606;blob_store:contrast_inspected_not_emitted;git_tree:f1f128fe6dd8,39c2e72e02d6149392464259c764a8f5925998b4b52e17fca26d060c4cd0ac89
b8695a2837b8211e,eligible,construct_valid_packet_v2,Concrete task brief + snapshot context + semantic redaction; safe to distribute.,rq5_case_manifest.csv;packet_spec:rq5_v1_blind_packet_spec_v2;rq5_candidate_dataset.csv;blob_store:35c392a625349cce;blob_store:contrast_inspected_not_emitted;git_tree:03248fcf0054,69c3542ee4f17c489603f6cb5ca9b9eba214b6fa6e5cc045cc8ab59277736407
a38973860e5d4712,eligible,construct_valid_packet_v2,Concrete task brief + snapshot context + semantic redaction; safe to distribute.,rq5_case_manifest.csv;packet_spec:rq5_v1_blind_packet_spec_v2;rq5_candidate_dataset.csv;blob_store:4ddff1fb04bc8988;blob_store:contrast_inspected_not_emitted;git_tree:d570a73facd1,88cf8f9904e545880749c8c3bd609ad4ad777e6032df0d4a1c46c7510f02d3e9
018779556d23bf3f,eligible,construct_valid_packet_v2,Concrete task brief + snapshot context + semantic redaction; safe to distribute.,rq5_case_manifest.csv;packet_spec:rq5_v1_blind_packet_spec_v2;rq5_candidate_dataset.csv;blob_store:ba85749976184ae6;blob_store:contrast_inspected_not_emitted;git_tree:c4072f9de01c,76a6971652cd82970c85577477ce64740b4a7f34f00679fd690613c8ad288db7
8a7005d04252096c,eligible,construct_valid_packet_v2,Concrete task brief + snapshot context + semantic redaction; safe to distribute.,rq5_case_manifest.csv;packet_spec:rq5_v1_blind_packet_spec_v2;rq5_candidate_dataset.csv;blob_store:de0cf7678eba2436;blob_store:contrast_inspected_not_emitted;git_tree:37ae2dab8198,beab47823b1d8bfd3e5625390ab1bd57e4cc4899bf4456e129f5b61f83469573
91a44ede937683ce,eligible,construct_valid_packet_v2,Concrete task brief + snapshot context + semantic redaction; safe to distribute.,rq5_case_manifest.csv;packet_spec:rq5_v1_blind_packet_spec_v2;rq5_candidate_dataset.csv;blob_store:e9e850eaa886d18c;blob_store:contrast_inspected_not_emitted;git_tree:987043191161,c42cf4aa08a6533a115c99af67729f46d194fd17369f6f3d6a8d213a69ce90c2
1e39c3352c8e8e69,eligible,construct_valid_packet_v2,Concrete task brief + snapshot context + semantic redaction; safe to distribute.,rq5_case_manifest.csv;packet_spec:rq5_v1_blind_packet_spec_v2;rq5_candidate_dataset.csv;blob_store:ec2f9b91068e6262;blob_store:contrast_inspected_not_emitted;translation_cache:zh;git_tree:65b441824a72,9eff47936f23c73ab7ec23a089d141fa790dcb1d1df727fb22389d7abde8628f
67c2974c57527180,eligible,construct_valid_packet_v2,Concrete task brief + snapshot context + semantic redaction; safe to distribute.,rq5_case_manifest.csv;packet_spec:rq5_v1_blind_packet_spec_v2;rq5_candidate_dataset.csv;blob_store:d99d770ad95f2e92;blob_store:contrast_inspected_not_emitted;git_tree:5a8ca70f2f31,99f20c9b38886293b6934071ef024685bcd842158bbfa8d5b321ef06556e5c59
