repo_id,repo_url,cited_path,uncited_path,panel_start_commit,panel_end_commit,cited_churn_commits,uncited_churn_commits,cited_verified_rate,match_extension,match_depth
03ff95638105b96a,https://github.com/567-labs/instructor,pyrightconfig.json,.vscode/settings.json,f4dd2771edc619c1df4a8f6093b4e7dcfcfad62b,f4dd2771edc619c1df4a8f6093b4e7dcfcfad62b,1,0,1.0,json,1
03ff95638105b96a,https://github.com/567-labs/instructor,mdc:https:/cursor.sh,examples/chain-of-density/chain_of_density.py,8edae175e6f426c20020baa2a9274c9cd099dafd,8edae175e6f426c20020baa2a9274c9cd099dafd,0,0,0.0,sh,2
03ff95638105b96a,https://github.com/567-labs/instructor,mkdocs.yml,.github/FUNDING.yml,cf01774c40bce575e4d6bb90e08d79e0dfbe615c,6b969d2b3acfec363d2859511e19176a4f01c8c0,29,0,0.9375,yml,1
03ff95638105b96a,https://github.com/567-labs/instructor,client_anthropic.py,instructor/retry.py,cf01774c40bce575e4d6bb90e08d79e0dfbe615c,6b969d2b3acfec363d2859511e19176a4f01c8c0,0,8,0.0,py,1
03ff95638105b96a,https://github.com/567-labs/instructor,documentation-sync.mdc,instructor/hooks.py,8edae175e6f426c20020baa2a9274c9cd099dafd,8edae175e6f426c20020baa2a9274c9cd099dafd,0,0,0.0,mdc,1
03ff95638105b96a,https://github.com/567-labs/instructor,followups.mdc,tests/test_utils.py,8edae175e6f426c20020baa2a9274c9cd099dafd,8edae175e6f426c20020baa2a9274c9cd099dafd,0,0,0.0,mdc,1
03ff95638105b96a,https://github.com/567-labs/instructor,/cursor.sh,instructor/client_fireworks.py,8edae175e6f426c20020baa2a9274c9cd099dafd,8edae175e6f426c20020baa2a9274c9cd099dafd,0,0,0.0,sh,1
03ff95638105b96a,https://github.com/567-labs/instructor,todo.md,docs/why.md,8edae175e6f426c20020baa2a9274c9cd099dafd,60cc815b0e9046e4469d55cea1a12b30c7f4b488,0,5,0.0,md,1
03ff95638105b96a,https://github.com/567-labs/instructor,instructor/__init__.py,examples/batch-classification/run_langsmith.py,f4dd2771edc619c1df4a8f6093b4e7dcfcfad62b,6b969d2b3acfec363d2859511e19176a4f01c8c0,11,0,0.9166666666666666,py,2
03ff95638105b96a,https://github.com/567-labs/instructor,simple-language.mdc,requirements.txt,8edae175e6f426c20020baa2a9274c9cd099dafd,8edae175e6f426c20020baa2a9274c9cd099dafd,0,0,0.0,mdc,1
03ff95638105b96a,https://github.com/567-labs/instructor,hooks.py,tests/test_distil.py,5d9de64fc8ec1ee087252fbb08621db23d9ae893,6b969d2b3acfec363d2859511e19176a4f01c8c0,0,1,0.0,py,1
03ff95638105b96a,https://github.com/567-labs/instructor,index.md,docs/architecture.md,8edae175e6f426c20020baa2a9274c9cd099dafd,8edae175e6f426c20020baa2a9274c9cd099dafd,0,0,0.0,md,1
03ff95638105b96a,https://github.com/567-labs/instructor,MEASUREMENTS.md,docs/installation.md,9466f0a5bc953d37ea1b00931b40cad5b11fe3bd,dc7994dfe7094b3d88209ef9ca69915932c57fe4,0,0,0.0,md,1
03ff95638105b96a,https://github.com/567-labs/instructor,hide_lines.py,instructor/client_cerebras.py,f4dd2771edc619c1df4a8f6093b4e7dcfcfad62b,6b969d2b3acfec363d2859511e19176a4f01c8c0,0,1,0.0,py,1
03ff95638105b96a,https://github.com/567-labs/instructor,new-features-planning.mdc,tests/test_multimodal.py,8edae175e6f426c20020baa2a9274c9cd099dafd,8edae175e6f426c20020baa2a9274c9cd099dafd,0,0,0.0,mdc,1
03ff95638105b96a,https://github.com/567-labs/instructor,refactor_plan/OVERVIEW.md,docs/examples/multi_modal_gemini.md,9466f0a5bc953d37ea1b00931b40cad5b11fe3bd,dc7994dfe7094b3d88209ef9ca69915932c57fe4,0,1,0.6,md,2
03ff95638105b96a,https://github.com/567-labs/instructor,//cursor.sh,instructor/patch.py,8edae175e6f426c20020baa2a9274c9cd099dafd,8edae175e6f426c20020baa2a9274c9cd099dafd,0,0,0.0,sh,1
03ff95638105b96a,https://github.com/567-labs/instructor,exceptions.py,tests/test_response_model_conversion.py,cf01774c40bce575e4d6bb90e08d79e0dfbe615c,6b969d2b3acfec363d2859511e19176a4f01c8c0,0,2,0.0,py,1
03ff95638105b96a,https://github.com/567-labs/instructor,README.md,docs/faq.md,8edae175e6f426c20020baa2a9274c9cd099dafd,8edae175e6f426c20020baa2a9274c9cd099dafd,0,0,1.0,md,1
03ff95638105b96a,https://github.com/567-labs/instructor,OVERVIEW.md,NEW_PROVIDER_AGENT_INSTRUCTIONS.md,9466f0a5bc953d37ea1b00931b40cad5b11fe3bd,dc7994dfe7094b3d88209ef9ca69915932c57fe4,0,0,0.0,md,1
03ff95638105b96a,https://github.com/567-labs/instructor,pyproject.toml,.ruff.toml,f4dd2771edc619c1df4a8f6093b4e7dcfcfad62b,6b969d2b3acfec363d2859511e19176a4f01c8c0,29,1,0.9166666666666666,toml,1
03ff95638105b96a,https://github.com/567-labs/instructor,client.py,tests/test_multitask.py,5d9de64fc8ec1ee087252fbb08621db23d9ae893,6b969d2b3acfec363d2859511e19176a4f01c8c0,0,1,0.0,py,1
03ff95638105b96a,https://github.com/567-labs/instructor,build_mkdocs.sh,instructor/batch.py,5d9de64fc8ec1ee087252fbb08621db23d9ae893,6b969d2b3acfec363d2859511e19176a4f01c8c0,0,1,0.9230769230769231,sh,1
