repo_id,repo_url,instruction_path,reference_type,reference,time_origin,time_end,duration_days,ever_repaired,post_failure_followup_days,failure_commit,failure_transition,verified_before_failure,returned_after_missing,basename_collision_verified,n_observations,repeated_repo_count,repeated_file_count,snippet_available,snippet,born_stale_heuristic_category,born_stale_heuristic_confidence,born_stale_heuristic_rules,heuristic_category,heuristic_confidence,heuristic_rules,heuristic_rationale,adjudication_status,final_category,category_letter,is_genuine_decay,judge_a_model,judge_a_category,judge_a_rationale,judge_b_model,judge_b_category,judge_b_rationale,judge_agreement
03ff95638105b96a,https://github.com/567-labs/instructor,CLAUDE.md,path,instructor/utils.py,2025-07-07T23:46:56+00:00,2025-10-27T19:02:00+00:00,111.80212962962963,False,88.24663194444445,60437eff1972ea61cd3af4a1994b83991f4c851f,VERIFIED->MISSING,True,False,False,12,12,26196,True,s and add tests 4. Run tests and linting 5. Commit with conventional commit message 6. Push to your fork and create PR 7. Use stacked PRs for complex features ## Adding New Providers ### Step-by-Step Guide 1. **Update Provider Enum** in `instructor/utils.py`: ```python class Provider(Enum): YOUR_PRO,template_placeholder,medium,high_cross_file_repetition,extractor_artifact,medium,high_cross_file_repetition,"Example, placeholder, or cross-repo template token — not a concrete repo claim.",deterministic_medium,extractor_artifact,D,False,,,,,,,
03ff95638105b96a,https://github.com/567-labs/instructor,CLAUDE.md,script_name,instructor/utils.py,2025-07-07T23:46:56+00:00,2025-10-27T19:02:00+00:00,111.80212962962963,False,88.24663194444445,60437eff1972ea61cd3af4a1994b83991f4c851f,VERIFIED->MISSING,True,False,False,12,12,26196,True,s and add tests 4. Run tests and linting 5. Commit with conventional commit message 6. Push to your fork and create PR 7. Use stacked PRs for complex features ## Adding New Providers ### Step-by-Step Guide 1. **Update Provider Enum** in `instructor/utils.py`: ```python class Provider(Enum): YOUR_PRO,template_placeholder,medium,high_cross_file_repetition,extractor_artifact,medium,high_cross_file_repetition,"Example, placeholder, or cross-repo template token — not a concrete repo claim.",deterministic_medium,extractor_artifact,D,False,,,,,,,
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,.agents/skills/apm-integrations/references/orchestrion.md,path,packages/datadog-instrumentations/src/helpers/rewriter/instrumentations/bullmq.json,2026-02-23T09:16:09+00:00,2026-03-05T14:17:38+00:00,10.209363425925925,False,115.93247685185185,af9643a10ab5b778f5de809130e5c515dd2fbd2e,VERIFIED->MISSING,True,False,False,10,10,1148,True,"entations/src/helpers/rewriter/instrumentations/langchain.js` - Hooks file: `packages/datadog-instrumentations/src/langchain.js` - Plugin: `packages/datadog-plugin-langchain/src/tracing.js` **BullMQ** (simpler, single-package): - Config: `packages/datadog-instrumentations/src/helpers/rewriter/instru",template_placeholder,medium,high_cross_file_repetition,extractor_artifact,medium,high_cross_file_repetition,"Example, placeholder, or cross-repo template token — not a concrete repo claim.",deterministic_medium,extractor_artifact,D,False,,,,,,,
0d8bce7e29a5cd98,https://github.com/microsoft/vscode,.agents/skills/launch/SKILL.md,path,src/vs/platform/agent/test/node/createAndSendMessageAsLocalAgent.sh,2026-03-08T02:01:54+00:00,2026-03-08T02:01:54+00:00,0.0,True,2.8545717592592594,e9299757f29949386f32f8b7e4367fa72f8d0720,VERIFIED->MISSING,True,True,False,4,4,2473,True,"rn nothing ``` ## Quick Test: Send a Chat Message as Local Agent There's a helper script that automates the full flow — launch Code OSS, switch to Local Agent mode, send a message, and print the response: ```bash # From the repo root: ./src/vs/platform/agent/test/node/createAndSendMessageAsLocalAgen",normative_prescriptive,medium,instruction_file_is_rule_or_skill_surface,rename_or_move,medium,repair_event_after_first_missing,Reference returned to VERIFIED/REPAIRED after first MISSING — likely transient or path fix.,deterministic_medium,rename_or_move,B,False,,,,,,,
0d8bce7e29a5cd98,https://github.com/microsoft/vscode,.agents/skills/launch/SKILL.md,script_name,src/vs/platform/agent/test/node/createAndSendMessageAsLocalAgent.sh,2026-03-08T02:01:54+00:00,2026-03-08T02:01:54+00:00,0.0,True,2.8545717592592594,e9299757f29949386f32f8b7e4367fa72f8d0720,VERIFIED->MISSING,True,True,False,4,4,2473,True,"rn nothing ``` ## Quick Test: Send a Chat Message as Local Agent There's a helper script that automates the full flow — launch Code OSS, switch to Local Agent mode, send a message, and print the response: ```bash # From the repo root: ./src/vs/platform/agent/test/node/createAndSendMessageAsLocalAgen",normative_prescriptive,medium,instruction_file_is_rule_or_skill_surface,rename_or_move,medium,repair_event_after_first_missing,Reference returned to VERIFIED/REPAIRED after first MISSING — likely transient or path fix.,deterministic_medium,rename_or_move,B,False,,,,,,,
0d8bce7e29a5cd98,https://github.com/microsoft/vscode,.github/instructions/ai-customization.instructions.md,path,src/vs/workbench/contrib/chat/browser/aiCustomization,2026-02-04T09:43:22+00:00,2026-02-04T15:07:38+00:00,0.22518518518518518,False,13.611597222222223,ac28f5d30ad1e67b84258059871937985cdfe9a7,VERIFIED->MISSING,True,True,False,12,14,373,True,--- description: Architecture documentation for VS Code AI Customization view. Use when working in `src/vs/workbench/contrib/chat/browser/aiCustomization` applyTo: 'src/vs/workbench/contrib/chat/browser/aiCustomization/**' --- # AI Customization View The AI Customization view provides a unified view,template_placeholder,medium,high_cross_file_repetition,rename_or_move,medium,verified_after_missing_same_trajectory,Post-failure observation shows reference verified again without new extraction key.,deterministic_medium,rename_or_move,B,False,,,,,,,
0d8bce7e29a5cd98,https://github.com/microsoft/vscode,.github/instructions/ai-customization.instructions.md,directory,src/vs/workbench/contrib/chat/browser/aiCustomization/,2026-02-04T09:43:22+00:00,2026-02-04T15:07:38+00:00,0.22518518518518518,False,13.611597222222223,ac28f5d30ad1e67b84258059871937985cdfe9a7,VERIFIED->MISSING,True,True,False,12,44,373,True,--- description: Architecture documentation for VS Code AI Customization view. Use when working in `src/vs/workbench/contrib/chat/browser/aiCustomization` applyTo: 'src/vs/workbench/contrib/chat/browser/aiCustomization/**' --- # AI Customization View The AI Customization view provides a unified view,template_placeholder,medium,high_cross_file_repetition,rename_or_move,medium,verified_after_missing_same_trajectory,Post-failure observation shows reference verified again without new extraction key.,deterministic_medium,rename_or_move,B,False,,,,,,,
0d8bce7e29a5cd98,https://github.com/microsoft/vscode,.github/skills/add-policy/SKILL.md,path,src/vs/workbench/services/policies/common/multiplexPolicyService.ts,2026-03-10T00:38:04+00:00,2026-06-16T17:32:51+00:00,98.70471064814815,False,15.140555555555556,4b24cea6cdd67954a3d8c61945ee0a44ff5d3d44,VERIFIED->MISSING,True,False,False,28,28,2750,True,rc/vs/platform/configuration/common/configurations.ts` | `PolicyConfiguration` — bridges policies to configuration values | | `src/vs/workbench/services/policies/common/accountPolicyService.ts` | Account/GitHub-based policy evaluation | | `src/vs/workbench/services/policies/common/multiplexPolicySer,template_placeholder,medium,high_cross_file_repetition,extractor_artifact,medium,high_cross_file_repetition,"Example, placeholder, or cross-repo template token — not a concrete repo claim.",deterministic_medium,extractor_artifact,D,False,,,,,,,
0d8bce7e29a5cd98,https://github.com/microsoft/vscode,.github/skills/update-screenshots/SKILL.md,directory,test/componentFixtures/.screenshots/baseline/,2026-02-20T15:03:42+00:00,2026-04-07T10:24:23+00:00,45.80603009259259,False,0.0,1a6b425b58c5f77dd5162360e17d0ab96f424340,VERIFIED->MISSING,True,False,False,12,12,200,True,what changed by reading the markdown report: ```bash cat .tmp/screenshot-diff/test/componentFixtures/.screenshots/report.md ``` ### 4. Copy CI screenshots to baseline ```bash # Remove old baselines and replace with CI screenshots rm -rf test/componentFixtures/.screenshots/baseline/ cp -r .tmp/screen,template_placeholder,medium,high_cross_file_repetition,extractor_artifact,medium,high_cross_file_repetition,"Example, placeholder, or cross-repo template token — not a concrete repo claim.",deterministic_medium,extractor_artifact,D,False,,,,,,,
0d8bce7e29a5cd98,https://github.com/microsoft/vscode,extensions/copilot/assets/prompts/skills/create-hook/SKILL.md,directory,.github/hooks/,2026-04-08T10:59:32+00:00,2026-06-08T23:50:38+00:00,61.53548611111111,False,0.0,f28b0448392e3a438b7e811948b6ef9e32a6160c,VERIFIED->MISSING,True,False,False,4,16,8,True,"lifecycle events.' argument-hint: What should be enforced or automated? disable-model-invocation: true --- Related skill: `agent-customization`. Load and follow **hooks.md** for template and principles. Guide the user to create a hook in `.github/hooks/`. ## Extract from Conversation First, review t",normative_prescriptive,medium,instruction_file_is_rule_or_skill_surface;prescriptive_language_near_reference,normative_or_prescriptive,medium,instruction_file_is_rule_or_skill_surface;prescriptive_language_near_reference,Reference appears in prescriptive rule/skill context describing conventions.,deterministic_medium,normative_or_prescriptive,E,False,,,,,,,
