repo_id,repo_url,instruction_path,reference_type,reference,first_commit,first_change_type,n_observations,repeated_repo_count,repeated_file_count,snippet_available,snippet,heuristic_category,heuristic_confidence,heuristic_rules,heuristic_rationale,adjudication_status,final_category,taxonomy_letter,judge_a_model,judge_a_category,judge_a_rationale,judge_b_model,judge_b_category,judge_b_rationale,judge_agreement
0d8bce7e29a5cd98,https://github.com/microsoft/vscode,.github/instructions/agentHostTesting.instructions.md,path,ws://127.0.0.1:8081,b1781a18baa205b22a282177947c88b32ac3416b,add,2,1,1,True,"documentation for more details. ## End to End Testing You can run `node ./scripts/code-agent-host.js` to start an agent host. If you pass `--enable-mock-agent`, then the `ScriptedMockAgent` will be used. By default this will listen on `ws://127.0.0.1:8081`. You can then use the `ahp-websocket` clien",genuine_false_claim,low,structured_path_always_missing,Plausible repo path persistently absent — may be false claim or unobserved confound.,llm_disagreement,unresolved_disagreement,U,deepseek-coder-v2:lite,genuine_false_claim,"The path ws://127.0.0.1:8081 is mentioned in documentation but does not correspond to any real file or directory in the repository, suggesting a false claim.",devstral:latest,external_reference,"The reference is a URL for a local web socket server, not an in-repo path.",False
0d8bce7e29a5cd98,https://github.com/microsoft/vscode,.github/instructions/oss-third-party-notices.instructions.md,path,@esbuild/linux-x64,fd396ed9a236c29eca5d4fe271f360cb7a5a0ac1,add,4,1,1,True,bounded live check that hits crates.io and GitHub for representative crates. ### Platform-binary Section 5 Section 5 closes a parity gap with the legacy OSS tool for arch-specific npm packages. Packages such as `@img/sharp-win32-x64` or `@esbuild/linux-x64` are optional dependencies of an arch-indep,genuine_false_claim,low,structured_path_always_missing,Plausible repo path persistently absent — may be false claim or unobserved confound.,llm_disagreement,unresolved_disagreement,U,deepseek-coder-v2:lite,genuine_false_claim,"The reference text '@esbuild/linux-x64' appears to be a genuine in-repo path, but it is persistently absent from the repository tree at any observation.",devstral:latest,external_reference,"The reference '@esbuild/linux-x64' is an npm package name, not a path within the repository.",False
0d8bce7e29a5cd98,https://github.com/microsoft/vscode,extensions/copilot/.github/instructions/prompt-tsx.instructions.md,directory,br /,e77f2bc8b1054a47169eec0933da178ca20e15d4,add,2,1,1,True,ps.filePath); return ( <> <SystemMessage priority={1000}>File content:</SystemMessage> <UserMessage priority={900}>{fileContent}</UserMessage> </> ); } } ``` ## Prompt-Specific JSX ### Line Breaks - **CRITICAL**: Use `<br />` for line breaks - newlines are NOT preserved in JSX - Never rely on whites,genuine_false_claim,low,structured_path_always_missing,Plausible repo path persistently absent — may be false claim or unobserved confound.,llm_disagreement,unresolved_disagreement,U,deepseek-coder-v2:lite,genuine_false_claim,"The reference text 'br /' appears to be a placeholder or incorrect syntax for line breaks in JSX, which is not present in the repository.",devstral:latest,extraction_artifact,"The reference 'br /' is a false positive from regex extraction, not a real repository claim.",False
0d8bce7e29a5cd98,https://github.com/microsoft/vscode,extensions/copilot/src/extension/chatSessions/copilotcli/AGENTS.md,path,@github/copilot/sdk,88fc27106aea5521707486c23bd7101ad35e9993,add,10,1,1,True,"rs to open a new Chat window and interact with a Copilot CLI agent instance directly within VS Code. **VS Code provides the UI, Copilot CLI SDK provides the smarts.** > **Important:** The Copilot CLI agent functionality is powered by the `@github/copilot/sdk` package. See the SDK package for full ty",genuine_false_claim,low,structured_path_always_missing,Plausible repo path persistently absent — may be false claim or unobserved confound.,llm_disagreement,unresolved_disagreement,U,deepseek-coder-v2:lite,genuine_false_claim,"The reference to '@github/copilot/sdk' appears to be a genuine false claim, as it does not correspond to any known repository path at the time of observation.",devstral:latest,external_reference,"The reference '@github/copilot/sdk' points to an external package, not a path within the repository.",False
0d8bce7e29a5cd98,https://github.com/microsoft/vscode,extensions/copilot/src/extension/chatSessions/copilotcli/AGENTS.md,path,import('@github/copilot/sdk'),88fc27106aea5521707486c23bd7101ad35e9993,add,10,1,1,True,"`vscode-node/` | `common/`, `node/`, `src/util/`, `src/platform/`, `vscode` module | (top layer — no restrictions) | ## Key Components ### `node/copilotCli.ts` **ICopilotCLISDK / CopilotCLISDK** - Service interface wrapping the dynamic `import('@github/copilot/sdk')` for dependency injection and tes",genuine_false_claim,low,structured_path_always_missing,Plausible repo path persistently absent — may be false claim or unobserved confound.,llm_disagreement,unresolved_disagreement,U,deepseek-coder-v2:lite,genuine_false_claim,The reference 'import('@github/copilot/sdk'),devstral:latest,external_reference,"The reference text 'import('@github/copilot/sdk')' suggests an external dependency, not an in-repo path.",False
157b059bdfd44153,https://github.com/2030ai/2030ai-claudecode-allecosystem-sync,AGENTS.md,path,~/Developer/zvasil-claude-ecosystem/agent_docs/ecosystem-sync-matrix.md,a627c45411e8db6feb6205899af4058bfeba4173,add,1,1,1,True,"глийском, для AI-агентов). Единственная точка входа в логику. - **README.md** — для людей (русский), краткое описание. - **references/** — platform-matrix, mcp-format-guide, native-skills-registry, troubleshooting. - **Экосистема (ЦУП):** `~/Developer/zvasil-claude-ecosystem/agent_docs/ecosystem-syn",genuine_false_claim,low,structured_path_always_missing,Plausible repo path persistently absent — may be false claim or unobserved confound.,llm_disagreement,unresolved_disagreement,U,deepseek-coder-v2:lite,genuine_false_claim,The path '~/Developer/zvasil-claude-ecosystem/agent_docs/ecosystem-sync-matrix.md' appears to be a false claim as it is not present in the repository at the time of observation.,devstral:latest,verification_anchor_mismatch,"Path is relative to the user's home directory, not the repository root.",False
2278a2c56faedf2c,https://github.com/googlecloudplatform/kubernetes-engine-samples,ai-ml/anthropic-agent-sandbox/AGENTS.md,path,/mnt/session/outputs/probe.txt,d50f908904cfaf4d12f85b3bc7562154c080543d,add,1,1,1,True,"VERLAY=01_single_session` (or `02_warmpool_autoscale`) | | Smoke test | `uv run scripts/fire_session.py` — pass when output contains `4.4.0` (gVisor kernel) and `""type"":""end_turn""` | | Verify session storage | Send a prompt that writes to `/mnt/session/outputs/probe.txt`, then `gcloud storage cat gs",genuine_false_claim,low,structured_path_always_missing,Plausible repo path persistently absent — may be false claim or unobserved confound.,llm_disagreement,unresolved_disagreement,U,deepseek-coder-v2:lite,genuine_false_claim,The path '/mnt/session/outputs/probe.txt' appears incorrect based on the repository structure and documentation context.,devstral:latest,verification_anchor_mismatch,"The path is relative to the container's filesystem, not the repository structure.",False
2278a2c56faedf2c,https://github.com/googlecloudplatform/kubernetes-engine-samples,ai-ml/anthropic-agent-sandbox/AGENTS.md,path,169.254.169.254/32:80,d50f908904cfaf4d12f85b3bc7562154c080543d,add,1,1,1,True,orker. - `src/dispatcher/main.py` `reap_stale_claims()` + `--max-redispatch` guard against re-offered work items for deleted sessions; removing either re-opens a claim leak / scale-down stall. - `deploy/base/fqdn-egress.yaml` includes `169.254.169.254/32:80` egress for the GCS FUSE sidecar; the per-,genuine_false_claim,low,structured_path_always_missing,Plausible repo path persistently absent — may be false claim or unobserved confound.,llm_disagreement,unresolved_disagreement,U,deepseek-coder-v2:lite,genuine_false_claim,"The reference '169.254.169.254/32:80' appears to be a false claim, as it does not correspond to any valid path in the repository at the observed time.",devstral:latest,extraction_artifact,"The reference text '169.254.169.254/32:80' appears to be a network address and not a valid repository path, likely extracted incorrectly.",False
23c68fbe410598f2,https://github.com/avarok-cybersecurity/atlas,AGENTS.md,path,/HARDWARE.toml,890adf967b955d725410aa93bcaaff5b7736284a,add,3,1,1,True,"apes: dense, SSM+MoE hybrid, attention+MoE). 2. **Kernel target.** Create `kernels/<hw>/<model-slug>/<quant>/` with a `MODEL.toml` declaring the model-type matches, sampling presets, and behaviour defaults. The top-level `kernels/<hw>/HARDWARE.toml` picks up the new target automatically if you set `",genuine_false_claim,low,structured_path_always_missing,Plausible repo path persistently absent — may be false claim or unobserved confound.,llm_disagreement,unresolved_disagreement,U,deepseek-coder-v2:lite,genuine_false_claim,The path '/HARDWARE.toml' appears to be a genuine false claim as it does not match any observed repository structure.,devstral:latest,normative_prescriptive,"The reference describes a desired structure, not the current state of the repository.",False
36d3a1dd1dbdae11,https://github.com/insightsoftwareconsortium/itk,AGENTS.md,directory,ModuleName/,ec505d71345fdb23907f3313ef16d902abb9f78d,add,5,1,1,True,"ew() method itkTypeMacro(Self, Superclass); // RTTI support itkSetMacro(Radius, unsigned int); // Generates SetRadius() itkGetConstMacro(Radius, unsigned int); // Generates GetRadius() ``` ### File Organization Each module follows: ``` ModuleName/ ├── itk-module.cmake # Module metadata ├── include/ ",genuine_false_claim,low,structured_path_always_missing,Plausible repo path persistently absent — may be false claim or unobserved confound.,llm_disagreement,unresolved_disagreement,U,deepseek-coder-v2:lite,genuine_false_claim,"The path 'ModuleName/' is consistently absent from the repository tree, suggesting it might be a false claim or an unobserved confound.",devstral:latest,normative_prescriptive,"Describes the desired structure for modules, not necessarily reflecting current repo state.",False
