spec_id,snapshot_id,repo_id,repo_url,instruction_path,family_group,snapshot_type,commit_sha,commit_time,task_commit_sha,blob_sha,blob_available,n_refs_total,n_verifiable,n_verified_verifiable,n_missing_verifiable,n_unverifiable,n_repaired,verified_ratio_verifiable,anchor_reference,anchor_reference_type,paired_truthful_commit_sha,paired_truthful_blob_sha,issue_availability,issue_availability_reason,task_availability,task_availability_reason,experimental_eligible,exclusion_reason,protocol_condition,p1_sample
fa9db85c0a21a7b1,0cd6f789c446953c,03ff95638105b96a,https://github.com/567-labs/instructor,.cursor/rules/documentation-sync.mdc,,truthful,8edae175e6f426c20020baa2a9274c9cd099dafd,2025-03-19T00:18:25+00:00,8edae175e6f426c20020baa2a9274c9cd099dafd,dc7fc3a9e995cbe3873be4237290bad90e4554704b4190d33531d29e9e03b1e8,True,6,6,2,4,0,0,0.3333,README.md,path,,,False,no_stale_reference_or_issue_cue,True,verified_reference_anchors_only,True,,A_truthful,False
fa9db85c0a21a7b1,2db72e9eda5c1334,03ff95638105b96a,https://github.com/567-labs/instructor,.cursor/rules/documentation-sync.mdc,,born_stale,8edae175e6f426c20020baa2a9274c9cd099dafd,2025-03-19T00:18:25+00:00,8edae175e6f426c20020baa2a9274c9cd099dafd,dc7fc3a9e995cbe3873be4237290bad90e4554704b4190d33531d29e9e03b1e8,True,6,6,2,4,0,0,0.3333,guides/getting-started.md,path,8edae175e6f426c20020baa2a9274c9cd099dafd,dc7fc3a9e995cbe3873be4237290bad90e4554704b4190d33531d29e9e03b1e8,True,stale_verifiable_references_present,True,verified_reference_anchors_only,True,,B_observed_integrity_loss,False
d4944a1bd9444345,f330ca5a465e76d8,03ff95638105b96a,https://github.com/567-labs/instructor,.cursor/rules/new-features-planning.mdc,,born_stale,8edae175e6f426c20020baa2a9274c9cd099dafd,2025-03-19T00:18:25+00:00,8edae175e6f426c20020baa2a9274c9cd099dafd,ace8ea3bd9c6b67379d2cd540e372bcc616384707fe3ac0213da0f056430cfe4,True,4,4,0,4,0,0,0.0,/cursor.sh,path,,,True,stale_verifiable_references_present,False,no_verified_reference_anchors,False,task_availability_heuristic_failed,B_observed_integrity_loss,False
6cf5332d009f8a63,7a12a9431ad45cef,03ff95638105b96a,https://github.com/567-labs/instructor,.cursor/rules/readme.md,Cursor rules,truthful,8edae175e6f426c20020baa2a9274c9cd099dafd,2025-03-19T00:18:25+00:00,8edae175e6f426c20020baa2a9274c9cd099dafd,49ea8c8158a604c7becd8aaa157155282655288c7c813123f1be9f94047b3368,True,43,10,3,7,32,0,0.3,.cursor/rules,path,,,False,no_stale_reference_or_issue_cue,True,verified_reference_anchors_only,True,,A_truthful,True
6cf5332d009f8a63,cf6f2976af6e23d5,03ff95638105b96a,https://github.com/567-labs/instructor,.cursor/rules/readme.md,Cursor rules,born_stale,8edae175e6f426c20020baa2a9274c9cd099dafd,2025-03-19T00:18:25+00:00,8edae175e6f426c20020baa2a9274c9cd099dafd,49ea8c8158a604c7becd8aaa157155282655288c7c813123f1be9f94047b3368,True,43,10,3,7,32,0,0.3,//cursor.sh,path,8edae175e6f426c20020baa2a9274c9cd099dafd,49ea8c8158a604c7becd8aaa157155282655288c7c813123f1be9f94047b3368,True,stale_verifiable_references_present,True,verified_reference_anchors_only,True,,B_observed_integrity_loss,True
d6c94a7b4219ac9c,bbcc712e185a8999,03ff95638105b96a,https://github.com/567-labs/instructor,CLAUDE.md,CLAUDE.md,truthful,cf01774c40bce575e4d6bb90e08d79e0dfbe615c,2025-03-04T04:41:40+00:00,cf01774c40bce575e4d6bb90e08d79e0dfbe615c,df984ab8a932aacd0b24de6cf42c12519d585a1cb0f7647094cc7cc41d2b322d,True,12,12,5,7,0,0,0.4167,docs/concepts/,directory,,,False,no_stale_reference_or_issue_cue,True,test_command_in_spec+verified_test_path_reference,True,,A_truthful,True
d6c94a7b4219ac9c,8aafe5b3ff4dd00b,03ff95638105b96a,https://github.com/567-labs/instructor,CLAUDE.md,CLAUDE.md,born_stale,cf01774c40bce575e4d6bb90e08d79e0dfbe615c,2025-03-04T04:41:40+00:00,cf01774c40bce575e4d6bb90e08d79e0dfbe615c,df984ab8a932aacd0b24de6cf42c12519d585a1cb0f7647094cc7cc41d2b322d,True,12,12,5,7,0,0,0.4167,client_anthropic.py,path,cf01774c40bce575e4d6bb90e08d79e0dfbe615c,df984ab8a932aacd0b24de6cf42c12519d585a1cb0f7647094cc7cc41d2b322d,True,stale_verifiable_references_present,True,test_command_in_spec+verified_test_path_reference,True,,B_observed_integrity_loss,True
d6c94a7b4219ac9c,979caba21a0eb7f0,03ff95638105b96a,https://github.com/567-labs/instructor,CLAUDE.md,CLAUDE.md,degraded,60437eff1972ea61cd3af4a1994b83991f4c851f,2025-10-27T19:02:00+00:00,60437eff1972ea61cd3af4a1994b83991f4c851f,9a8e2eb20a5fcebd68fc1a73ed494e852b9d7001b9ea98f742e3ec394c50a56e,True,168,70,22,48,88,0,0.3143,instructor/utils.py,path,f4dd2771edc619c1df4a8f6093b4e7dcfcfad62b,ab1bcbc4ae4bc32d222ac3c5ed8034285220354b4d2b66cfd2de0c4eb953d1da,True,stale_verifiable_references_present,True,test_command_in_spec+verified_source_path_reference+verified_test_config_reference+verified_test_path_reference,True,,B_observed_integrity_loss,True
d4dbbbd5aba20329,5a368f2c225a088a,045697c18e22b2e6,https://github.com/datadog/dd-trace-js,.agents/skills/apm-integrations/SKILL.md,,truthful,e9554e83c610dec376471b9016483b1bfc8721b4,2026-05-09T14:30:41+00:00,e9554e83c610dec376471b9016483b1bfc8721b4,79f7d27d6b5404f8da8aa725268cd66e1139874104c229c8c3f3d06f96198bad,True,49,25,8,17,24,0,0.32,.github/workflows/apm-integrations.yml,path,,,False,no_stale_reference_or_issue_cue,True,test_command_in_spec+verified_source_path_reference+verified_test_path_reference,True,,A_truthful,False
d4dbbbd5aba20329,8ed1ffb1f8864d0e,045697c18e22b2e6,https://github.com/datadog/dd-trace-js,.agents/skills/apm-integrations/SKILL.md,,born_stale,5e3de4ed38f08decf4592d397f5a0c72d483d519,2026-02-23T09:16:09+00:00,5e3de4ed38f08decf4592d397f5a0c72d483d519,82b9e1f3e4d3e5558314fb6247c30726d8b549623ba305d5180593863f2cdf80,True,49,25,8,17,24,0,0.32,/,directory,e9554e83c610dec376471b9016483b1bfc8721b4,79f7d27d6b5404f8da8aa725268cd66e1139874104c229c8c3f3d06f96198bad,True,stale_verifiable_references_present,True,test_command_in_spec+verified_source_path_reference+verified_test_path_reference,True,,B_observed_integrity_loss,False
94adf0ec3ebc6f89,be8a0041edd637f0,045697c18e22b2e6,https://github.com/datadog/dd-trace-js,.agents/skills/apm-integrations/references/async-iterator-pattern.md,,truthful,c56c18a876a295cc8c2714df240085efc60757c7,2026-06-19T14:34:20+00:00,c56c18a876a295cc8c2714df240085efc60757c7,f5219e2ab21a5a81d12ef94b4471bc435c52f45e055ba31052b703e54f89104c,True,30,3,1,2,27,0,0.3333,packages/datadog-instrumentations/src/helpers/rewriter/instrumentations/langgraph.js,path,,,False,no_stale_reference_or_issue_cue,True,verified_source_path_reference,True,,A_truthful,False
94adf0ec3ebc6f89,1973473b4cbf5f69,045697c18e22b2e6,https://github.com/datadog/dd-trace-js,.agents/skills/apm-integrations/references/async-iterator-pattern.md,,born_stale,0a08693fcb37bfaa28c8ee33d9d126ec2b866da8,2026-03-04T01:39:26+00:00,0a08693fcb37bfaa28c8ee33d9d126ec2b866da8,183a879f888b8de7b6ca119e99d00cd20e9562cfee29984154f5f4c6a1a20922,True,30,3,0,3,27,0,0.0,dist/pregel/index.js,path,c56c18a876a295cc8c2714df240085efc60757c7,f5219e2ab21a5a81d12ef94b4471bc435c52f45e055ba31052b703e54f89104c,True,stale_verifiable_references_present,False,no_verified_reference_anchors,False,task_availability_heuristic_failed,B_observed_integrity_loss,False
94adf0ec3ebc6f89,8ad3f82ff23b9782,045697c18e22b2e6,https://github.com/datadog/dd-trace-js,.agents/skills/apm-integrations/references/async-iterator-pattern.md,,repaired,1e50807cb903afc91cc9a71d670fe5c1cec02256,2026-06-19T14:34:20+00:00,1e50807cb903afc91cc9a71d670fe5c1cec02256,f5219e2ab21a5a81d12ef94b4471bc435c52f45e055ba31052b703e54f89104c,True,30,3,0,2,27,1,0.0,packages/datadog-instrumentations/src/helpers/rewriter/instrumentations/langgraph.js,path,c56c18a876a295cc8c2714df240085efc60757c7,f5219e2ab21a5a81d12ef94b4471bc435c52f45e055ba31052b703e54f89104c,True,post_repair_integrity_context,False,no_verified_reference_anchors,False,task_availability_heuristic_failed,post_repair_observational,False
07ea266dd6542bae,018cd110c64b3fed,045697c18e22b2e6,https://github.com/datadog/dd-trace-js,.agents/skills/apm-integrations/references/new-integration-guide.md,,truthful,e9554e83c610dec376471b9016483b1bfc8721b4,2026-05-09T14:30:41+00:00,e9554e83c610dec376471b9016483b1bfc8721b4,9c1dc8b6b72bb3961b13b476a7ad143bcc7adbd6aea65aa2b73f72ebf72f7b83,True,62,27,9,18,35,0,0.3333,.github/workflows/apm-integrations.yml,path,,,False,no_stale_reference_or_issue_cue,True,test_command_in_spec+verified_source_path_reference+verified_test_path_reference,True,,A_truthful,False
07ea266dd6542bae,928c237a8d0c1f51,045697c18e22b2e6,https://github.com/datadog/dd-trace-js,.agents/skills/apm-integrations/references/new-integration-guide.md,,born_stale,5e3de4ed38f08decf4592d397f5a0c72d483d519,2026-02-23T09:16:09+00:00,5e3de4ed38f08decf4592d397f5a0c72d483d519,c8e7243ba66f9f09d987a16b454c431479c75981eff54add99a2f3c98631ac8e,True,62,27,9,18,35,0,0.3333,/src/index.js,path,e9554e83c610dec376471b9016483b1bfc8721b4,9c1dc8b6b72bb3961b13b476a7ad143bcc7adbd6aea65aa2b73f72ebf72f7b83,True,stale_verifiable_references_present,True,test_command_in_spec+verified_source_path_reference+verified_test_path_reference,True,,B_observed_integrity_loss,False
51a42addfb2fed17,154e40173ae07f4b,045697c18e22b2e6,https://github.com/datadog/dd-trace-js,.agents/skills/apm-integrations/references/orchestrion.md,,truthful,5e3de4ed38f08decf4592d397f5a0c72d483d519,2026-02-23T09:16:09+00:00,5e3de4ed38f08decf4592d397f5a0c72d483d519,66ef9234fcd9c0b5dd91640d9deff03fc4e7453ce5f0838981863147cfdc25c3,True,73,28,8,20,45,0,0.2857,index.js,path,,,False,no_stale_reference_or_issue_cue,True,verified_source_path_reference,True,,A_truthful,False
51a42addfb2fed17,a8eb8b034a8cd5e3,045697c18e22b2e6,https://github.com/datadog/dd-trace-js,.agents/skills/apm-integrations/references/orchestrion.md,,born_stale,5e3de4ed38f08decf4592d397f5a0c72d483d519,2026-02-23T09:16:09+00:00,5e3de4ed38f08decf4592d397f5a0c72d483d519,66ef9234fcd9c0b5dd91640d9deff03fc4e7453ce5f0838981863147cfdc25c3,True,73,28,8,20,45,0,0.2857,dist/cjs/classes/queue.js,path,5e3de4ed38f08decf4592d397f5a0c72d483d519,66ef9234fcd9c0b5dd91640d9deff03fc4e7453ce5f0838981863147cfdc25c3,True,stale_verifiable_references_present,True,verified_source_path_reference,True,,B_observed_integrity_loss,False
51a42addfb2fed17,d4e9991f92d4c5b7,045697c18e22b2e6,https://github.com/datadog/dd-trace-js,.agents/skills/apm-integrations/references/orchestrion.md,,degraded,af9643a10ab5b778f5de809130e5c515dd2fbd2e,2026-03-05T14:17:38+00:00,af9643a10ab5b778f5de809130e5c515dd2fbd2e,927454169cdc843cc606c5d559a105fb31cb3467e0ead8878046e76ed597cc9d,True,92,29,7,22,63,0,0.2414,packages/datadog-instrumentations/src/helpers/rewriter/instrumentations/bullmq.json,path,360ebe55293a7665140e600e8693c9484e1642ec,927454169cdc843cc606c5d559a105fb31cb3467e0ead8878046e76ed597cc9d,True,stale_verifiable_references_present,True,verified_source_path_reference,True,,B_observed_integrity_loss,False
1eac3a98d10381a0,9f58a931a5dc3ae6,045697c18e22b2e6,https://github.com/datadog/dd-trace-js,.agents/skills/apm-integrations/references/plugin-patterns.md,,born_stale,5e3de4ed38f08decf4592d397f5a0c72d483d519,2026-02-23T09:16:09+00:00,5e3de4ed38f08decf4592d397f5a0c72d483d519,fc45c2aa1a5cc65248232455b6a9a771ad13ad924f45b83ebc445474bbe4c110,True,12,4,0,4,8,0,0.0,Node.js,path,,,True,stale_verifiable_references_present,False,no_verified_reference_anchors,False,task_availability_heuristic_failed,B_observed_integrity_loss,False
76b28604b99ba4e9,cf18ed7100633427,045697c18e22b2e6,https://github.com/datadog/dd-trace-js,.agents/skills/apm-integrations/references/reference-plugins.md,,truthful,5e3de4ed38f08decf4592d397f5a0c72d483d519,2026-02-23T09:16:09+00:00,5e3de4ed38f08decf4592d397f5a0c72d483d519,65d72876c9f53f9efeec2bca861e84030fa31df3088798d882bd15fbb1a4b4b4,True,61,33,26,7,28,0,0.7879,packages/datadog-plugin-amqplib/,directory,,,False,no_stale_reference_or_issue_cue,True,verified_reference_anchors_only,True,,A_truthful,False
76b28604b99ba4e9,8d9d8c08ea298cde,045697c18e22b2e6,https://github.com/datadog/dd-trace-js,.agents/skills/apm-integrations/references/reference-plugins.md,,born_stale,5e3de4ed38f08decf4592d397f5a0c72d483d519,2026-02-23T09:16:09+00:00,5e3de4ed38f08decf4592d397f5a0c72d483d519,65d72876c9f53f9efeec2bca861e84030fa31df3088798d882bd15fbb1a4b4b4,True,61,33,26,7,28,0,0.7879,datadog-instrumentations/src/<lib>.js,path,5e3de4ed38f08decf4592d397f5a0c72d483d519,65d72876c9f53f9efeec2bca861e84030fa31df3088798d882bd15fbb1a4b4b4,True,stale_verifiable_references_present,True,verified_reference_anchors_only,True,,B_observed_integrity_loss,False
