repo_id,instruction_path,reference_type,reference,start_time,event_time,end_time,rot_event,censored,follow_up_days
03ff95638105b96a,.cursor/rules/readme.md,path,.cursor/rules,2025-03-19T00:18:25+00:00,,2025-03-19T00:18:25+00:00,false,true,0
03ff95638105b96a,.cursor/rules/readme.md,path,simple-language.mdc,2025-03-19T00:18:25+00:00,2025-03-19T00:18:25+00:00,2025-03-19T00:18:25+00:00,true,false,0
03ff95638105b96a,.cursor/rules/readme.md,path,new-features-planning.mdc,2025-03-19T00:18:25+00:00,2025-03-19T00:18:25+00:00,2025-03-19T00:18:25+00:00,true,false,0
03ff95638105b96a,.cursor/rules/readme.md,path,followups.mdc,2025-03-19T00:18:25+00:00,2025-03-19T00:18:25+00:00,2025-03-19T00:18:25+00:00,true,false,0
03ff95638105b96a,.cursor/rules/readme.md,path,documentation-sync.mdc,2025-03-19T00:18:25+00:00,2025-03-19T00:18:25+00:00,2025-03-19T00:18:25+00:00,true,false,0
03ff95638105b96a,.cursor/rules/readme.md,directory,.cursor/rules/,2025-03-19T00:18:25+00:00,,2025-03-19T00:18:25+00:00,false,true,0
03ff95638105b96a,.cursor/rules/readme.md,path,//cursor.sh,2025-03-19T00:18:25+00:00,2025-03-19T00:18:25+00:00,2025-03-19T00:18:25+00:00,true,false,0
03ff95638105b96a,.cursor/rules/readme.md,path,todo.md,2025-03-19T00:18:25+00:00,2025-03-19T00:18:25+00:00,2025-03-19T00:18:25+00:00,true,false,0
03ff95638105b96a,.cursor/rules/readme.md,path,mkdocs.yml,2025-03-19T00:18:25+00:00,,2025-03-19T00:18:25+00:00,false,true,0
03ff95638105b96a,.cursor/rules/readme.md,script_name,//cursor.sh,2025-03-19T00:18:25+00:00,2025-03-19T00:18:25+00:00,2025-03-19T00:18:25+00:00,true,false,0
03ff95638105b96a,CLAUDE.md,directory,poetry run pytest tests/,2025-03-04T04:41:40+00:00,2025-03-04T04:41:40+00:00,2025-03-04T04:41:40+00:00,true,false,0
03ff95638105b96a,CLAUDE.md,path,client_anthropic.py,2025-03-04T04:41:40+00:00,2025-03-04T04:41:40+00:00,2025-03-04T04:41:40+00:00,true,false,0
03ff95638105b96a,CLAUDE.md,directory,tests/llm/,2025-03-04T04:41:40+00:00,,2026-04-02T22:58:24+00:00,false,true,394
03ff95638105b96a,CLAUDE.md,directory,docs/integrations/,2025-03-04T04:41:40+00:00,,2026-04-02T22:58:24+00:00,false,true,394
03ff95638105b96a,CLAUDE.md,path,mkdocs.yml,2025-03-04T04:41:40+00:00,,2026-04-02T22:58:24+00:00,false,true,394
03ff95638105b96a,CLAUDE.md,directory,docs/concepts/,2025-03-04T04:41:40+00:00,,2026-04-02T22:58:24+00:00,false,true,394
03ff95638105b96a,CLAUDE.md,path,tests/path_to_test.py,2025-03-04T04:41:40+00:00,2025-03-04T04:41:40+00:00,2025-03-04T04:41:40+00:00,true,false,0
03ff95638105b96a,CLAUDE.md,path,exceptions.py,2025-03-04T04:41:40+00:00,2025-03-04T04:41:40+00:00,2025-03-04T04:41:40+00:00,true,false,0
03ff95638105b96a,CLAUDE.md,directory,tests/,2025-03-04T04:41:40+00:00,,2026-04-02T22:58:24+00:00,false,true,394
03ff95638105b96a,CLAUDE.md,script_name,tests/path_to_test.py,2025-03-04T04:41:40+00:00,2025-03-04T04:41:40+00:00,2025-03-04T04:41:40+00:00,true,false,0
03ff95638105b96a,CLAUDE.md,script_name,exceptions.py,2025-03-04T04:41:40+00:00,2025-03-04T04:41:40+00:00,2025-03-04T04:41:40+00:00,true,false,0
03ff95638105b96a,CLAUDE.md,script_name,client_anthropic.py,2025-03-04T04:41:40+00:00,2025-03-04T04:41:40+00:00,2025-03-04T04:41:40+00:00,true,false,0
03ff95638105b96a,CLAUDE.md,directory,pytest tests/,2025-05-15T15:54:50+00:00,2025-05-15T15:54:50+00:00,2025-05-15T15:54:50+00:00,true,false,0
03ff95638105b96a,CLAUDE.md,path,build_mkdocs.sh,2025-05-15T15:54:50+00:00,,2026-04-02T22:58:24+00:00,false,true,322
03ff95638105b96a,CLAUDE.md,directory,tests/llm/test_provider/evals/,2025-05-15T15:54:50+00:00,2025-05-15T15:54:50+00:00,2025-05-15T15:54:50+00:00,true,false,0
03ff95638105b96a,CLAUDE.md,path,CLAUDE.md,2025-05-15T15:54:50+00:00,,2026-04-02T22:58:24+00:00,false,true,322
03ff95638105b96a,CLAUDE.md,path,client.py,2025-05-15T15:54:50+00:00,2025-05-15T15:54:50+00:00,2025-05-15T15:54:50+00:00,true,false,0
03ff95638105b96a,CLAUDE.md,path,auto_client.py,2025-05-15T15:54:50+00:00,2025-05-15T15:54:50+00:00,2025-05-15T15:54:50+00:00,true,false,0
03ff95638105b96a,CLAUDE.md,path,process_response.py,2025-05-15T15:54:50+00:00,2025-05-15T15:54:50+00:00,2025-05-15T15:54:50+00:00,true,false,0
03ff95638105b96a,CLAUDE.md,path,patch.py,2025-05-15T15:54:50+00:00,2025-05-15T15:54:50+00:00,2025-05-15T15:54:50+00:00,true,false,0
03ff95638105b96a,CLAUDE.md,path,function_calls.py,2025-05-15T15:54:50+00:00,2025-05-15T15:54:50+00:00,2025-05-15T15:54:50+00:00,true,false,0
