agent_id,condition,case_id,replicate_id,success,tests_passing,compilation_success,execution_time_seconds,files_modified,tool_failures,iterations,commands_executed,repository_changes,read_instruction,followed_reference,ignored_reference,detected_inconsistency,repaired_reference,error_message,tool_invocations,patch_size,token_usage,cost_usd,trace_classification,spec_id,repo_id,repo_url,instruction_path,task_commit_sha,anchor_reference,confirmed_false,test_command
claude_code,A,81ec58cfed88dd3c,1,False,False,True,80.46,30,2,11,13,30,True,True,False,False,False,,10,3423,6815,0.30580375,tool_failure,0d907d12be8028d2,80c1e78b3cbb6701,https://github.com/copilotkit/copilotkit,skills/copilotkit-debug/SKILL.md,2196dc5d7ebaf8ea667b9a8579df406f95b5c0b9,.codex/config.toml,True,pytest
claude_code,A,81ec58cfed88dd3c,2,False,False,True,54.64,32,2,8,9,32,True,True,False,False,False,,7,3423,5847,0.2463415,tool_failure,0d907d12be8028d2,80c1e78b3cbb6701,https://github.com/copilotkit/copilotkit,skills/copilotkit-debug/SKILL.md,2196dc5d7ebaf8ea667b9a8579df406f95b5c0b9,.codex/config.toml,True,pytest
claude_code,A,81ec58cfed88dd3c,3,False,False,True,113.262,41,2,13,19,41,True,True,False,False,False,,12,3487,7964,0.37317025000000004,tool_failure,0d907d12be8028d2,80c1e78b3cbb6701,https://github.com/copilotkit/copilotkit,skills/copilotkit-debug/SKILL.md,2196dc5d7ebaf8ea667b9a8579df406f95b5c0b9,.codex/config.toml,True,pytest
claude_code,B,81ec58cfed88dd3c,1,False,False,True,121.932,42,1,13,21,42,True,True,False,False,False,,12,3487,9738,0.45886825,tool_failure,0d907d12be8028d2,80c1e78b3cbb6701,https://github.com/copilotkit/copilotkit,skills/copilotkit-debug/SKILL.md,2196dc5d7ebaf8ea667b9a8579df406f95b5c0b9,.codex/config.toml,True,pytest
claude_code,B,81ec58cfed88dd3c,2,False,False,True,81.684,43,2,8,9,43,True,True,False,False,False,,7,3487,7543,0.29190825,tool_failure,0d907d12be8028d2,80c1e78b3cbb6701,https://github.com/copilotkit/copilotkit,skills/copilotkit-debug/SKILL.md,2196dc5d7ebaf8ea667b9a8579df406f95b5c0b9,.codex/config.toml,True,pytest
claude_code,B,81ec58cfed88dd3c,3,False,False,True,86.624,44,2,11,17,44,True,True,False,False,False,,10,3487,7072,0.33817574999999994,tool_failure,0d907d12be8028d2,80c1e78b3cbb6701,https://github.com/copilotkit/copilotkit,skills/copilotkit-debug/SKILL.md,2196dc5d7ebaf8ea667b9a8579df406f95b5c0b9,.codex/config.toml,True,pytest
claude_code,A,fd797306713f1063,1,False,False,True,136.308,45,1,11,19,45,True,True,False,False,False,,10,3487,11635,0.48187225000000006,tool_failure,1c8bbf1b3e52dd62,3f33ab9828ac52ad,https://github.com/automattic/wp-calypso,packages/grid/AGENTS.md,3f7b8a9c528829276413fda6d3a7bc1cea17e53b,@automattic/grid,True,pytest
claude_code,A,fd797306713f1063,2,False,False,True,71.858,46,2,6,9,46,True,True,False,False,False,,5,3488,6859,0.21964125,tool_failure,1c8bbf1b3e52dd62,3f33ab9828ac52ad,https://github.com/automattic/wp-calypso,packages/grid/AGENTS.md,3f7b8a9c528829276413fda6d3a7bc1cea17e53b,@automattic/grid,True,pytest
claude_code,A,fd797306713f1063,3,False,False,True,68.295,47,1,5,7,47,True,True,False,False,False,,4,3488,6480,0.19228075,tool_failure,1c8bbf1b3e52dd62,3f33ab9828ac52ad,https://github.com/automattic/wp-calypso,packages/grid/AGENTS.md,3f7b8a9c528829276413fda6d3a7bc1cea17e53b,@automattic/grid,True,pytest
claude_code,B,fd797306713f1063,1,False,False,True,84.343,48,1,8,13,48,True,True,False,False,False,,7,3488,7777,0.30428525,hallucinated_path,1c8bbf1b3e52dd62,3f33ab9828ac52ad,https://github.com/automattic/wp-calypso,packages/grid/AGENTS.md,3f7b8a9c528829276413fda6d3a7bc1cea17e53b,@automattic/grid,True,pytest
claude_code,B,fd797306713f1063,2,False,False,True,69.47,49,1,6,9,49,True,True,False,False,False,,5,3488,6906,0.20472275,hallucinated_path,1c8bbf1b3e52dd62,3f33ab9828ac52ad,https://github.com/automattic/wp-calypso,packages/grid/AGENTS.md,3f7b8a9c528829276413fda6d3a7bc1cea17e53b,@automattic/grid,True,pytest
claude_code,B,fd797306713f1063,3,False,False,True,146.393,50,1,10,17,50,True,True,False,False,False,,9,3488,11241,0.4173995,hallucinated_path,1c8bbf1b3e52dd62,3f33ab9828ac52ad,https://github.com/automattic/wp-calypso,packages/grid/AGENTS.md,3f7b8a9c528829276413fda6d3a7bc1cea17e53b,@automattic/grid,True,pytest
claude_code,A,0b8f82bdba65b9df,1,False,False,True,75.911,51,1,7,11,51,True,True,False,False,False,,6,3488,7605,0.29474,instruction_read,20e7f888d450fd4a,97dcab4759c83fdb,https://github.com/langgenius/dify,cli/AGENTS.md,107bba0116399d5ec0f0d529bb23c93b684790d1,/guide.ts,True,pytest
