agent_id,condition,case_id,replicate_id,success,tests_passing,compilation_success,execution_time_seconds,files_modified,tool_failures,iterations,commands_executed,repository_changes,read_instruction,followed_reference,ignored_reference,detected_inconsistency,repaired_reference,error_message,tool_invocations,patch_size,token_usage,cost_usd,trace_classification,spec_id,repo_id,repo_url,instruction_path,task_commit_sha,anchor_reference,confirmed_false,test_command
claude_code,C,81ec58cfed88dd3c,1,False,False,True,136.215,0,1,14,27,0,True,False,True,False,False,,13,0,11388,0.535072,instruction_ignored,0d907d12be8028d2,80c1e78b3cbb6701,https://github.com/copilotkit/copilotkit,skills/copilotkit-debug/SKILL.md,2196dc5d7ebaf8ea667b9a8579df406f95b5c0b9,.codex/config.toml,True,pytest
claude_code,C,81ec58cfed88dd3c,2,False,False,True,348.4,4,3,37,59,4,True,False,True,False,False,,36,154,26121,1.5666870000000002,instruction_ignored,0d907d12be8028d2,80c1e78b3cbb6701,https://github.com/copilotkit/copilotkit,skills/copilotkit-debug/SKILL.md,2196dc5d7ebaf8ea667b9a8579df406f95b5c0b9,.codex/config.toml,True,pytest
claude_code,C,81ec58cfed88dd3c,3,False,False,True,444.315,3,3,38,57,3,True,False,True,False,False,,37,244,31798,1.8336312499999996,instruction_ignored,0d907d12be8028d2,80c1e78b3cbb6701,https://github.com/copilotkit/copilotkit,skills/copilotkit-debug/SKILL.md,2196dc5d7ebaf8ea667b9a8579df406f95b5c0b9,.codex/config.toml,True,pytest
claude_code,C,fd797306713f1063,1,False,False,True,62.999,1,1,5,9,1,False,False,True,False,False,,4,49,8599,0.24718325,instruction_ignored,1c8bbf1b3e52dd62,3f33ab9828ac52ad,https://github.com/automattic/wp-calypso,packages/grid/AGENTS.md,3f7b8a9c528829276413fda6d3a7bc1cea17e53b,@automattic/grid,True,pytest
claude_code,C,fd797306713f1063,2,False,False,True,79.203,1,1,6,11,1,False,False,True,False,False,,5,49,10251,0.29819049999999997,instruction_ignored,1c8bbf1b3e52dd62,3f33ab9828ac52ad,https://github.com/automattic/wp-calypso,packages/grid/AGENTS.md,3f7b8a9c528829276413fda6d3a7bc1cea17e53b,@automattic/grid,True,pytest
claude_code,C,fd797306713f1063,3,False,False,True,168.402,0,1,12,23,0,True,True,False,False,False,,11,0,13538,0.5036497499999999,instruction_read,1c8bbf1b3e52dd62,3f33ab9828ac52ad,https://github.com/automattic/wp-calypso,packages/grid/AGENTS.md,3f7b8a9c528829276413fda6d3a7bc1cea17e53b,@automattic/grid,True,pytest
claude_code,C,0b8f82bdba65b9df,1,False,False,True,215.524,1,3,17,33,1,True,False,True,False,False,,16,100,11442,0.58551875,instruction_ignored,20e7f888d450fd4a,97dcab4759c83fdb,https://github.com/langgenius/dify,cli/AGENTS.md,107bba0116399d5ec0f0d529bb23c93b684790d1,/guide.ts,True,pytest
claude_code,C,0b8f82bdba65b9df,2,False,False,True,136.775,1,2,11,21,1,True,False,True,False,False,,10,100,9377,0.46237900000000004,instruction_ignored,20e7f888d450fd4a,97dcab4759c83fdb,https://github.com/langgenius/dify,cli/AGENTS.md,107bba0116399d5ec0f0d529bb23c93b684790d1,/guide.ts,True,pytest
claude_code,C,0b8f82bdba65b9df,3,False,False,True,190.573,3,1,18,27,3,True,False,True,False,False,,17,112,13309,0.737579,instruction_ignored,20e7f888d450fd4a,97dcab4759c83fdb,https://github.com/langgenius/dify,cli/AGENTS.md,107bba0116399d5ec0f0d529bb23c93b684790d1,/guide.ts,True,pytest
claude_code,C,48713c8f66938235,1,False,False,True,77.883,0,1,8,15,0,True,True,False,False,False,,7,0,6462,0.27621749999999995,instruction_read,2189830180838430,c80f9fe166839d30,https://github.com/affitor/affiliate-skills,skills/distribution/social-media-scheduler/SKILL.md,3c65d86c23951666da5125639f57b28a9305c293,2/,True,pytest
